file_name,Notes,Category
7z.exe,,Data exfil / compression tools
7zFM.exe,,3rd-party (often signed) tools commonly dropped with malicious DLLs
"7zFM.exe,7-Zip GUI",7-Zip GUI,Third-party apps commonly seen abused
7zG.exe,,3rd-party (often signed) tools commonly dropped with malicious DLLs
a11ylauncher.exe,,"Accessibility, speech, screen reading support"
a11ystartupux.exe,,Shell & UX boot helpers
aadbrokerplugin.dll,,Intune / Autopilot / Enrollment Internals
aadbrokerplugin.exe,,Security-related MS binaries
"aadcloudap.dll,relevant in AAD logins",relevant in AAD logins,Security-related MS binaries
aadcloudapplugin.dll,,Azure AD Join & Device Identity
aadconfighost.exe,,Azure AD / Intune / MDM / compliance policies
aadconnectorrelay.exe,,"Hybrid identity, provisioning, and cloud join helpers"
aadjoin.dll,,Azure AD Join & Device Identity
aadjoinconfigsvc.exe,,Identity & password migration/flow helpers
aadwebtokenbroker.exe,,Hybrid identity / WebAuthn + broker flows
aadwebtokenprovider.exe,,FIDO / SAML / OAuth2 bridge binaries
accelerometerbroker.exe,,Sensor & device platform brokers
accesschk.exe,,Sysinternals utilities (can be abused if dropped with malicious DLLs)
accessenum.exe,,Sysinternals/PowerToys/MS diagnostics not already included
accessibilitycontroller.exe,,Subsystem / fallback UI bridges
accessibilityproxy.exe,,"Accessibility, text-to-speech, handwriting support"
accessibilityrecovery.exe,,"Accessibility, DPI scaling, and visual fallback agents"
accessibilitysetupux.exe,,"Help, accessibility, and keyboard training tools"
accessibilityshimhost.exe,,"Accessibility, DPI scaling, and visual fallback agents"
accessibilitytrainer.exe,,"Help, accessibility, and keyboard training tools"
accessibilitytransitionsvc.exe,,Display / screen / accessibility UX tools
accessibilityuxswitch.exe,,"Font, DPI, and accessibility UX services"
accountconnecthost.exe,,Activation UI + account connection
accountenrollmentui.exe,,Enterprise/Autopilot-specific components
accountjoinux.exe,,Activation UI + account connection
accountmigrationhost.exe,,Identity & password migration/flow helpers
accountprovisioninghost.exe,,"Digital ID, Federation, and Workplace Join"
accountsetuphost.exe,,Windows “First Run” and OOBE initialization binaries
acdiag.dll,,Application Compatibility infrastructure
aceranalyticsagent.exe,,OEM telemetry and analytics collectors
aceraudiocontrol.exe,,OEM app launchers & hotkey services
acerbiosflashsvc.exe,,OEM BIOS/firmware update + patch bridges
acerbiosrestore.exe,,"OEM BIOS, update fetchers, and flash utilities"
acerbiossyncsvc.exe,,"OEM diagnostics, firmware sync, and support agents"
acercloudclient.exe,,OEM & Preinstalled Apps/Support
acercontentbroker.exe,,OEM content import/export & multimedia bridges
acerdesktopstyle.exe,,"OEM skinning, branding, and theme customization"
acerdisplayoptimizer.exe,,OEM display tuning and device sync utilities
acerdriverupdater.exe,,"OEM sync, update, and firmware download utilities"
acergetstarted.exe,,OEM desktop launchers and post-setup apps
acerhdrmanager.exe,,OEM audio/video enhancement tools
acermetricsbridge.exe,,OEM-specific driver update and telemetry agents
acernetutility.exe,,OEM wireless tools and network agents
aceroembiossvc.exe,,"OEM boot, touch, ACPI, hotkey control layers"
acerperformanceengine.exe,,"OEM restore, performance, and backup agents"
